Edition;Sport;NOC;numberBronze;numberSilver;numberGold
1996;Cycling;ESP;;1;1
1996;Cycling;FRA;1;3;8
1996;Cycling;GBR;2;;
1996;Cycling;GER;1;;1
1996;Cycling;ITA;;1;4
1996;Cycling;JPN;1;;
1996;Cycling;NED;1;1;1
1996;Cycling;RUS;;4;1
1996;Cycling;SUI;;1;1
1996;Cycling;USA;1;2;
1996;Equestrian;AUS;;;4
1996;Equestrian;BRA;4;;
1996;Equestrian;FRA;1;;
1996;Equestrian;GER;;;10
1996;Equestrian;NED;1;5;
1996;Equestrian;NZL;4;1;1
1996;Equestrian;SUI;;1;
1996;Equestrian;USA;5;8;
1996;Fencing;CUB;3;1;
1996;Fencing;FRA;5;2;4
1996;Fencing;GER;3;;
1996;Fencing;HUN;2;3;
1996;Fencing;ITA;4;4;7
1996;Fencing;POL;;3;
1996;Fencing;ROU;;3;1
1996;Fencing;RUS;3;4;8
1996;Football;ARG;;18;
1996;Football;BRA;18;;
1996;Football;CHN;;16;
1996;Football;NGR;;;18
1996;Football;NOR;18;;
1996;Football;USA;;;16
1996;Gymnastics;BLR;4;;
1996;Gymnastics;BUL;;7;
1996;Gymnastics;CHN;1;10;1
1996;Gymnastics;ESP;;;6
1996;Gymnastics;GER;;;1
1996;Gymnastics;GRE;;;1
1996;Gymnastics;HUN;;1;
1996;Gymnastics;ITA;;;1
1996;Gymnastics;KOR;;1;
1996;Gymnastics;ROU;10;4;1
1996;Gymnastics;RUS;9;9;9
1996;Gymnastics;SUI;;;1
1996;Gymnastics;UKR;8;1;4
1996;Gymnastics;USA;1;2;8
1996;Handball;CRO;;;16
1996;Handball;DEN;;;16
1996;Handball;ESP;16;;
1996;Handball;HUN;16;;
1996;Handball;KOR;;16;
1996;Handball;SWE;;16;
1996;Hockey;AUS;16;;16
1996;Hockey;ESP;;16;
1996;Hockey;KOR;;16;
1996;Hockey;NED;16;;16
1996;Judo;BEL;2;1;1
1996;Judo;BRA;2;;
1996;Judo;CHN;1;;1
1996;Judo;CUB;4;1;1
1996;Judo;ESP;2;1;
1996;Judo;FRA;3;;3
1996;Judo;GEO;1;;
1996;Judo;GER;4;;1
1996;Judo;ITA;1;1;
1996;Judo;JPN;1;4;3
1996;Judo;KOR;2;4;2
1996;Judo;MGL;1;;
1996;Judo;NED;3;;
1996;Judo;POL;;1;1
1996;Judo;PRK;;;1
1996;Judo;USA;1;;
1996;Judo;UZB;;1;
1996;Modern Pentathlon;HUN;1;;
1996;Modern Pentathlon;KAZ;;;1
1996;Modern Pentathlon;RUS;;1;
1996;Rowing;AUS;8;2;6
1996;Rowing;BLR;9;;1
1996;Rowing;CAN;4;15;2
1996;Rowing;CHN;;2;
1996;Rowing;DEN;1;;4
1996;Rowing;FRA;6;4;
1996;Rowing;GBR;4;;2
1996;Rowing;GER;1;9;8
1996;Rowing;ITA;;;2
1996;Rowing;NED;2;2;9
1996;Rowing;NOR;;2;
1996;Rowing;ROU;;;11
1996;Rowing;RUS;9;;
1996;Rowing;SUI;;;3
1996;Rowing;UKR;;4;
1996;Rowing;USA;4;8;
1996;Sailing;ARG;;1;
1996;Sailing;AUS;2;2;
1996;Sailing;BEL;;1;
1996;Sailing;BRA;2;;3
1996;Sailing;DEN;;;1
1996;Sailing;ESP;;;4
1996;Sailing;GBR;;3;
1996;Sailing;GER;;;3
1996;Sailing;GRE;;;1
1996;Sailing;HKG;;;1
1996;Sailing;ISR;1;;
1996;Sailing;ITA;1;;
1996;Sailing;JPN;;2;
1996;Sailing;NED;1;1;
1996;Sailing;NOR;1;;
1996;Sailing;NZL;;1;
1996;Sailing;POL;;;1
1996;Sailing;POR;2;;
1996;Sailing;RUS;;3;
1996;Sailing;SWE;;2;
1996;Sailing;UKR;2;;2
1996;Sailing;USA;4;;
1996;Shooting;AUS;1;;2
1996;Shooting;AUT;1;1;
1996;Shooting;BLR;;1;
1996;Shooting;BUL;2;2;
1996;Shooting;CHN;1;2;2
1996;Shooting;CZE;1;;
1996;Shooting;FRA;1;;1
1996;Shooting;GER;;2;2
1996;Shooting;ITA;2;1;2
1996;Shooting;KAZ;1;2;
1996;Shooting;POL;1;1;1
1996;Shooting;RUS;1;2;3
1996;Shooting;SVK;1;;
1996;Shooting;USA;1;1;1
1996;Shooting;YUG;1;;1
1996;Softball;AUS;15;;
1996;Softball;CHN;;15;
1996;Softball;USA;;;15
1996;Table Tennis;CHN;1;5;6
1996;Table Tennis;GER;1;;
1996;Table Tennis;KOR;4;;
1996;Table Tennis;TPE;;1;
1996;Tennis;AUS;;;2
1996;Tennis;CZE;1;2;
1996;Tennis;ESP;2;2;
1996;Tennis;GBR;;2;
1996;Tennis;GER;2;;
1996;Tennis;IND;1;;
1996;Tennis;USA;;;4
1996;Volleyball;AUS;2;;
1996;Volleyball;BRA;12;2;2
1996;Volleyball;CAN;2;;
1996;Volleyball;CHN;;12;
1996;Volleyball;CUB;;;12
1996;Volleyball;ITA;;12;
1996;Volleyball;NED;;;12
1996;Volleyball;USA;;2;2
1996;Volleyball;YUG;12;;
1996;Weightlifting;AUS;1;;
1996;Weightlifting;BUL;2;1;
1996;Weightlifting;CHN;1;1;2
1996;Weightlifting;CUB;;;1
1996;Weightlifting;GER;1;2;
1996;Weightlifting;GRE;;3;2
1996;Weightlifting;HUN;1;;
1996;Weightlifting;KAZ;;1;
1996;Weightlifting;POL;1;;
1996;Weightlifting;PRK;1;1;
1996;Weightlifting;ROU;1;;
1996;Weightlifting;RUS;;1;2
1996;Weightlifting;TUR;;;2
1996;Weightlifting;UKR;1;;1
1996;Wrestling;ARM;;1;1
1996;Wrestling;AZE;;1;
1996;Wrestling;BLR;1;3;
1996;Wrestling;BUL;;;1
1996;Wrestling;CAN;;1;
1996;Wrestling;CHN;1;;
1996;Wrestling;CUB;1;1;1
1996;Wrestling;FIN;;1;
1996;Wrestling;FRA;;1;
1996;Wrestling;GEO;1;;
1996;Wrestling;GER;2;1;
1996;Wrestling;IRI;1;1;1
1996;Wrestling;JPN;1;;
1996;Wrestling;KAZ;1;;1
1996;Wrestling;KOR;;3;1
1996;Wrestling;MDA;1;;
1996;Wrestling;POL;1;1;3
1996;Wrestling;PRK;1;;1
1996;Wrestling;RUS;2;1;4
1996;Wrestling;SWE;1;;
1996;Wrestling;TUR;1;;2
1996;Wrestling;UKR;3;;1
1996;Wrestling;USA;1;4;3
2000;Aquatics;AUS;8;27;28
2000;Aquatics;BRA;4;;
2000;Aquatics;CAN;10;2;
2000;Aquatics;CHN;;7;7
2000;Aquatics;CRC;2;;
2000;Aquatics;ESP;1;;
2000;Aquatics;FRA;2;1;
2000;Aquatics;GER;14;;
2000;Aquatics;HUN;;;14
2000;Aquatics;ITA;2;1;3
2000;Aquatics;JPN;5;12;
2000;Aquatics;MEX;;1;
2000;Aquatics;NED;6;5;5
2000;Aquatics;ROU;1;1;2
2000;Aquatics;RSA;1;1;
2000;Aquatics;RUS;16;16;14
2000;Aquatics;SVK;;2;
2000;Aquatics;SWE;6;2;1
2000;Aquatics;UKR;2;2;2
2000;Aquatics;USA;11;31;38
2000;Aquatics;YUG;13;;
2000;Archery;AUS;;;1
2000;Archery;GER;3;;
2000;Archery;ITA;;3;
2000;Archery;KOR;1;1;7
2000;Archery;NED;1;;
2000;Archery;UKR;;3;
2000;Archery;USA;3;1;
2000;Athletics;ALG;2;1;1
2000;Athletics;AUS;;2;1
2000;Athletics;AUT;;1;
2000;Athletics;BAH;;;6
2000;Athletics;BAR;1;;
2000;Athletics;BLR;3;;2
2000;Athletics;BRA;;5;
2000;Athletics;BUL;;;1
2000;Athletics;CHN;;;1
2000;Athletics;CUB;5;2;2
2000;Athletics;CZE;;1;1
2000;Athletics;DEN;;1;
2000;Athletics;ESP;1;;
2000;Athletics;EST;;;1
2000;Athletics;ETH;3;1;4
2000;Athletics;FIN;;;1
2000;Athletics;GBR;2;2;2
2000;Athletics;GER;2;1;2
2000;Athletics;GRE;;3;1
2000;Athletics;IRL;;1;
2000;Athletics;ISL;1;;
2000;Athletics;ITA;;2;
2000;Athletics;JAM;9;14;
2000;Athletics;JPN;;;1
2000;Athletics;KAZ;;;1
2000;Athletics;KEN;2;3;2
2000;Athletics;KSA;;1;
2000;Athletics;LAT;;1;
2000;Athletics;LTU;;;1
2000;Athletics;MAR;3;1;
2000;Athletics;MEX;1;1;
2000;Athletics;MOZ;;;1
2000;Athletics;NGR;;7;
2000;Athletics;NOR;;1;1
2000;Athletics;POL;;;4
2000;Athletics;POR;1;;
2000;Athletics;ROU;2;2;1
2000;Athletics;RSA;2;1;
2000;Athletics;RUS;11;4;3
2000;Athletics;SRI;;1;
2000;Athletics;SWE;1;;
2000;Athletics;TRI;1;1;
2000;Athletics;UKR;2;;
2000;Athletics;USA;8;4;15
2000;Badminton;CHN;4;2;6
2000;Badminton;DEN;;1;
2000;Badminton;GBR;2;;
2000;Badminton;INA;;3;2
2000;Badminton;KOR;2;2;
2000;Baseball;CUB;;24;
2000;Baseball;KOR;24;;
2000;Baseball;USA;;;24
2000;Basketball;AUS;;12;
2000;Basketball;BRA;12;;
2000;Basketball;FRA;;12;
2000;Basketball;LTU;12;;
2000;Basketball;USA;;;24
2000;Boxing;ALG;1;;
2000;Boxing;AZE;1;;
2000;Boxing;CUB;2;;4
2000;Boxing;CZE;;1;
2000;Boxing;ESP;;1;
2000;Boxing;FRA;1;;1
2000;Boxing;GBR;;;1
2000;Boxing;GEO;1;;
2000;Boxing;GER;1;;
2000;Boxing;HUN;1;;
2000;Boxing;ITA;1;;
2000;Boxing;KAZ;;2;2
2000;Boxing;MAR;1;;
2000;Boxing;MDA;1;;
2000;Boxing;MEX;1;;
2000;Boxing;PRK;1;;
2000;Boxing;ROU;1;1;
2000;Boxing;RUS;2;3;2
2000;Boxing;THA;1;;1
2000;Boxing;UKR;3;2;
2000;Boxing;USA;2;2;
2000;Boxing;UZB;2;;1
2000;Canoe / Kayak;AUS;1;2;
2000;Canoe / Kayak;BUL;;2;
2000;Canoe / Kayak;CAN;1;1;
2000;Canoe / Kayak;CUB;;3;
2000;Canoe / Kayak;CZE;2;;1
2000;Canoe / Kayak;FRA;1;1;1
2000;Canoe / Kayak;GBR;1;1;
2000;Canoe / Kayak;GER;5;4;8
2000;Canoe / Kayak;HUN;2;6;9
2000;Canoe / Kayak;ISR;1;;
2000;Canoe / Kayak;ITA;1;;3
2000;Canoe / Kayak;NOR;;;2
2000;Canoe / Kayak;POL;6;4;
2000;Canoe / Kayak;ROU;6;;2
2000;Canoe / Kayak;RUS;;1;
2000;Canoe / Kayak;SVK;1;1;2
2000;Canoe / Kayak;SWE;;2;
2000;Cycling;AUS;5;2;2
2000;Cycling;BEL;;3;
2000;Cycling;CHN;1;;
2000;Cycling;ESP;1;;1
2000;Cycling;FRA;1;2;7
2000;Cycling;GBR;7;3;1
2000;Cycling;GER;3;4;7
2000;Cycling;ITA;2;;2
2000;Cycling;KAZ;;1;
2000;Cycling;LTU;1;;
2000;Cycling;NED;;1;3
2000;Cycling;RUS;2;1;1
2000;Cycling;SUI;1;1;
2000;Cycling;UKR;1;4;
2000;Cycling;URU;;1;
2000;Cycling;USA;1;1;1
2000;Equestrian;AUS;;1;4
2000;Equestrian;BRA;4;;
2000;Equestrian;GBR;;4;
2000;Equestrian;GER;1;1;8
2000;Equestrian;KSA;1;;
2000;Equestrian;NED;;5;2
2000;Equestrian;NZL;1;;
2000;Equestrian;SUI;;4;
2000;Equestrian;USA;8;;1
2000;Fencing;CHN;3;3;
2000;Fencing;CUB;3;;
2000;Fencing;FRA;1;9;4
2000;Fencing;GER;7;2;
2000;Fencing;HUN;;;1
2000;Fencing;ITA;5;;8
2000;Fencing;KOR;1;;1
2000;Fencing;POL;;4;
2000;Fencing;ROU;;;1
2000;Fencing;RUS;1;;8
2000;Fencing;SUI;;4;
2000;Football;CHI;18;;
2000;Football;CMR;;;18
2000;Football;ESP;;18;
2000;Football;GER;18;;
2000;Football;NOR;;;18
2000;Football;USA;;18;
2000;Gymnastics;AUS;;1;
2000;Gymnastics;BLR;;7;
2000;Gymnastics;BUL;2;;
2000;Gymnastics;CAN;2;;
2000;Gymnastics;CHN;2;2;8
2000;Gymnastics;ESP;;;1
2000;Gymnastics;FRA;;2;
2000;Gymnastics;GRE;6;1;
2000;Gymnastics;HUN;;;1
2000;Gymnastics;KOR;1;1;
2000;Gymnastics;LAT;;;1
2000;Gymnastics;POL;1;;
2000;Gymnastics;ROU;1;2;8
2000;Gymnastics;RUS;11;10;14
2000;Gymnastics;UKR;1;7;
2000;Gymnastics;USA;6;;
2000;Handball;DEN;;;15
2000;Handball;ESP;15;;
2000;Handball;HUN;;15;
2000;Handball;NOR;15;;
2000;Handball;RUS;;;15
2000;Handball;SWE;;15;
2000;Hockey;ARG;;16;
2000;Hockey;AUS;16;;16
2000;Hockey;KOR;;16;
2000;Hockey;NED;16;;16
2000;Judo;AUS;1;;
2000;Judo;BEL;2;;
2000;Judo;BLR;1;;
2000;Judo;BRA;;2;
2000;Judo;CAN;;1;
2000;Judo;CHN;1;1;2
2000;Judo;CUB;1;2;2
2000;Judo;ESP;;;1
2000;Judo;EST;2;;
2000;Judo;FRA;2;2;2
2000;Judo;GBR;;1;
2000;Judo;GEO;1;;
2000;Judo;GER;1;;
2000;Judo;ITA;3;;1
2000;Judo;JPN;2;2;4
2000;Judo;KGZ;1;;
2000;Judo;KOR;3;2;
2000;Judo;LAT;1;;
2000;Judo;NED;;;1
2000;Judo;POR;1;;
2000;Judo;PRK;1;;
2000;Judo;ROU;1;;
2000;Judo;RUS;2;1;
2000;Judo;TUR;;;1
2000;Judo;UKR;1;;
2000;Modern Pentathlon;BLR;1;;
2000;Modern Pentathlon;GBR;1;;1
2000;Modern Pentathlon;HUN;;1;
2000;Modern Pentathlon;RUS;;;1
2000;Modern Pentathlon;USA;;1;
2000;Rowing;AUS;6;15;
2000;Rowing;BLR;;;1
2000;Rowing;BUL;;1;
2000;Rowing;CAN;9;;
2000;Rowing;CRO;9;;
2000;Rowing;DEN;4;;
2000;Rowing;FRA;2;;6
2000;Rowing;GBR;;4;13
2000;Rowing;GER;6;2;6
2000;Rowing;ITA;2;6;4
2000;Rowing;LTU;2;;
2000;Rowing;NED;;15;
2000;Rowing;NOR;;2;
2000;Rowing;NZL;;;1
2000;Rowing;POL;;;2
2000;Rowing;ROU;;;13
2000;Rowing;RUS;4;;
2000;Rowing;SLO;;;2
2000;Rowing;SUI;;1;
2000;Rowing;USA;4;2;
2000;Sailing;ARG;3;1;
2000;Sailing;AUS;1;2;4
2000;Sailing;AUT;;;3
2000;Sailing;BRA;2;1;
2000;Sailing;DEN;;;3
2000;Sailing;FIN;;;2
2000;Sailing;GBR;;4;3
2000;Sailing;GER;2;4;
2000;Sailing;ITA;;1;1
2000;Sailing;NED;;1;
2000;Sailing;NOR;3;;
2000;Sailing;NZL;2;;
2000;Sailing;SWE;1;;
2000;Sailing;UKR;2;;
2000;Sailing;USA;2;4;2
2000;Shooting;AUS;1;1;1
2000;Shooting;AZE;;;1
2000;Shooting;BLR;3;1;
2000;Shooting;BUL;;;2
2000;Shooting;CHN;3;2;3
2000;Shooting;CZE;1;1;
2000;Shooting;DEN;;1;
2000;Shooting;FIN;;1;
2000;Shooting;FRA;;1;1
2000;Shooting;GBR;;1;1
2000;Shooting;HUN;1;;
2000;Shooting;ITA;1;1;
2000;Shooting;KOR;;1;
2000;Shooting;KUW;1;;
2000;Shooting;LTU;;;1
2000;Shooting;MDA;;1;
2000;Shooting;NOR;1;;
2000;Shooting;POL;;;1
2000;Shooting;ROU;1;;
2000;Shooting;RUS;2;3;1
2000;Shooting;SLO;;;1
2000;Shooting;SUI;;1;
2000;Shooting;SWE;;;2
2000;Shooting;UKR;;;1
2000;Shooting;USA;2;;1
2000;Shooting;YUG;;1;
2000;Softball;AUS;15;;
2000;Softball;JPN;;15;
2000;Softball;USA;;;15
2000;Table Tennis;CHN;1;5;6
2000;Table Tennis;FRA;2;;
2000;Table Tennis;KOR;2;;
2000;Table Tennis;SWE;;1;
2000;Table Tennis;TPE;1;;
2000;Taekwondo;AUS;;1;1
2000;Taekwondo;CAN;1;;
2000;Taekwondo;CHN;;;1
2000;Taekwondo;CUB;;1;1
2000;Taekwondo;ESP;;1;
2000;Taekwondo;FRA;1;;
2000;Taekwondo;GER;;1;
2000;Taekwondo;GRE;;;1
2000;Taekwondo;IRI;1;;
2000;Taekwondo;JPN;1;;
2000;Taekwondo;KOR;;1;3
2000;Taekwondo;MEX;1;;
2000;Taekwondo;NOR;;1;
2000;Taekwondo;RUS;;1;
2000;Taekwondo;TPE;2;;
2000;Taekwondo;TUR;1;;
2000;Taekwondo;USA;;;1
2000;Taekwondo;VIE;;1;
2000;Tennis;AUS;;2;
2000;Tennis;BEL;2;;
2000;Tennis;CAN;;;2
2000;Tennis;ESP;2;;
2000;Tennis;FRA;1;;
2000;Tennis;GER;;1;
2000;Tennis;NED;;2;
2000;Tennis;RUS;;1;1
2000;Tennis;USA;1;;3
2000;Triathlon;AUS;;1;
2000;Triathlon;CAN;;;1
2000;Triathlon;CZE;1;;
2000;Triathlon;GER;;1;
2000;Triathlon;SUI;1;;1
2000;Volleyball;AUS;;;2
2000;Volleyball;BRA;14;4;
2000;Volleyball;CUB;;;12
2000;Volleyball;GER;2;;
2000;Volleyball;ITA;12;;
2000;Volleyball;RUS;;24;
2000;Volleyball;USA;;;2
2000;Volleyball;YUG;;;12
2000;Weightlifting;ARM;1;;
2000;Weightlifting;BLR;2;;
2000;Weightlifting;BUL;;2;1
2000;Weightlifting;CHN;1;1;5
2000;Weightlifting;COL;;;1
2000;Weightlifting;CRO;;;1
2000;Weightlifting;GEO;1;;
2000;Weightlifting;GER;;2;
2000;Weightlifting;GRE;1;2;2
2000;Weightlifting;HUN;;1;
2000;Weightlifting;INA;2;1;
2000;Weightlifting;IND;1;;
2000;Weightlifting;IRI;;;2
2000;Weightlifting;MEX;;;1
2000;Weightlifting;NGR;;1;
2000;Weightlifting;POL;;2;
2000;Weightlifting;PRK;;1;
2000;Weightlifting;QAT;1;;
2000;Weightlifting;RUS;2;1;
2000;Weightlifting;THA;1;;
2000;Weightlifting;TPE;1;1;
2000;Weightlifting;TUR;;;1
2000;Weightlifting;USA;1;;1
2000;Wrestling;AZE;;;1
2000;Wrestling;BLR;1;;
2000;Wrestling;BUL;;1;1
2000;Wrestling;CAN;;;1
2000;Wrestling;CHN;1;;
2000;Wrestling;CUB;1;3;1
2000;Wrestling;FIN;1;;
2000;Wrestling;GEO;3;;
2000;Wrestling;GRE;1;;
2000;Wrestling;HUN;;1;
2000;Wrestling;IRI;;;1
2000;Wrestling;JPN;;1;
2000;Wrestling;KAZ;;1;
2000;Wrestling;KOR;1;2;1
2000;Wrestling;MKD;1;;
2000;Wrestling;PRK;1;;
2000;Wrestling;RUS;1;2;6
2000;Wrestling;SWE;;;1
2000;Wrestling;TUR;1;;1
2000;Wrestling;UKR;;2;
2000;Wrestling;USA;3;2;2
2000;Wrestling;UZB;;1;
2004;Aquatics;ARG;1;;
2004;Aquatics;AUS;10;12;18
2004;Aquatics;AUT;;2;
2004;Aquatics;CAN;2;1;
2004;Aquatics;CHN;1;7;10
2004;Aquatics;CRO;;1;
2004;Aquatics;FRA;3;2;1
2004;Aquatics;GBR;2;2;
2004;Aquatics;GER;12;7;
2004;Aquatics;GRE;;13;2
2004;Aquatics;HUN;1;1;13
2004;Aquatics;ITA;6;1;13
2004;Aquatics;JPN;7;12;3
2004;Aquatics;NED;6;7;2
2004;Aquatics;POL;;2;1
2004;Aquatics;ROU;1;;1
2004;Aquatics;RSA;1;1;4
2004;Aquatics;RUS;15;5;11
2004;Aquatics;SCG;;13;
2004;Aquatics;TRI;1;;
2004;Aquatics;UKR;1;;2
2004;Aquatics;USA;37;22;30
2004;Aquatics;ZIM;1;1;1
2004;Archery;AUS;1;;
2004;Archery;CHN;;3;
2004;Archery;GBR;1;;
2004;Archery;ITA;;;1
2004;Archery;JPN;;1;
2004;Archery;KOR;;1;7
2004;Archery;TPE;3;3;
2004;Archery;UKR;3;;
2004;Athletics;AUS;2;5;
2004;Athletics;BAH;1;;1
2004;Athletics;BLR;1;1;1
2004;Athletics;BRA;1;;
2004;Athletics;CHN;;;2
2004;Athletics;CMR;;;1
2004;Athletics;CUB;2;1;2
2004;Athletics;CZE;1;;1
2004;Athletics;DEN;2;;
2004;Athletics;DOM;;;1
2004;Athletics;ERI;1;;
2004;Athletics;ESP;1;1;
2004;Athletics;EST;1;;
2004;Athletics;ETH;2;3;2
2004;Athletics;FRA;5;;
2004;Athletics;GBR;1;;6
2004;Athletics;GER;;2;
2004;Athletics;GRE;1;2;2
2004;Athletics;HUN;;1;
2004;Athletics;ITA;1;;2
2004;Athletics;JAM;6;1;6
2004;Athletics;JPN;;;2
2004;Athletics;KAZ;1;;
2004;Athletics;KEN;2;4;1
2004;Athletics;LAT;;1;
2004;Athletics;LTU;;1;1
2004;Athletics;MAR;;1;2
2004;Athletics;MEX;;1;
2004;Athletics;NGR;8;;
2004;Athletics;NOR;;;1
2004;Athletics;POL;1;;1
2004;Athletics;POR;1;1;
2004;Athletics;ROU;1;2;
2004;Athletics;RSA;;2;
2004;Athletics;RUS;7;15;6
2004;Athletics;SLO;1;;
2004;Athletics;SWE;;;3
2004;Athletics;TUR;1;;
2004;Athletics;UKR;2;1;1
2004;Athletics;USA;5;16;17
2004;Badminton;CHN;1;2;5
2004;Badminton;DEN;2;;
2004;Badminton;GBR;;2;
2004;Badminton;INA;3;;1
2004;Badminton;KOR;2;3;2
2004;Badminton;NED;;1;
2004;Baseball;AUS;;24;
2004;Baseball;CUB;;;23
2004;Baseball;JPN;24;;
2004;Basketball;ARG;;;12
2004;Basketball;AUS;;12;
2004;Basketball;ITA;;11;
2004;Basketball;RUS;11;;
2004;Basketball;USA;12;;12
2004;Boxing;AZE;2;;
2004;Boxing;BLR;;2;
2004;Boxing;BUL;1;;
2004;Boxing;CHN;1;;
2004;Boxing;CUB;1;2;5
2004;Boxing;EGY;2;1;
2004;Boxing;FRA;;1;
2004;Boxing;GBR;;1;
2004;Boxing;GER;2;;
2004;Boxing;ITA;1;;
2004;Boxing;KAZ;1;1;1
2004;Boxing;KOR;2;;
2004;Boxing;PRK;;1;
2004;Boxing;ROU;1;;
2004;Boxing;RUS;3;;3
2004;Boxing;SYR;1;;
2004;Boxing;THA;1;1;1
2004;Boxing;TUR;;1;
2004;Boxing;USA;1;;1
2004;Boxing;UZB;2;;
2004;Canoe / Kayak;AUS;;3;
2004;Canoe / Kayak;BLR;2;;
2004;Canoe / Kayak;CAN;2;;1
2004;Canoe / Kayak;CHN;;;2
2004;Canoe / Kayak;CUB;;2;
2004;Canoe / Kayak;CZE;2;;
2004;Canoe / Kayak;ESP;;1;1
2004;Canoe / Kayak;FRA;1;;2
2004;Canoe / Kayak;GBR;2;1;
2004;Canoe / Kayak;GER;1;9;9
2004;Canoe / Kayak;HUN;3;4;7
2004;Canoe / Kayak;ITA;;3;
2004;Canoe / Kayak;NOR;2;;1
2004;Canoe / Kayak;NZL;;1;
2004;Canoe / Kayak;POL;2;;
2004;Canoe / Kayak;RUS;3;2;
2004;Canoe / Kayak;SVK;4;1;3
2004;Canoe / Kayak;SWE;;;2
2004;Canoe / Kayak;UKR;4;;
2004;Canoe / Kayak;USA;;1;
2004;Cycling;AUS;2;2;12
2004;Cycling;BEL;1;;
2004;Cycling;BLR;1;;
2004;Cycling;CAN;;1;1
2004;Cycling;CHN;;1;
2004;Cycling;COL;1;;
2004;Cycling;ESP;5;3;
2004;Cycling;FRA;3;1;1
2004;Cycling;GBR;2;6;2
2004;Cycling;GER;4;1;3
2004;Cycling;ITA;;;1
2004;Cycling;JPN;;3;
2004;Cycling;MEX;;1;
2004;Cycling;NED;2;1;1
2004;Cycling;NOR;;;1
2004;Cycling;NZL;;;1
2004;Cycling;POR;;1;
2004;Cycling;RUS;1;2;2
2004;Cycling;SUI;1;2;
2004;Cycling;USA;1;1;1
2004;Equestrian;BRA;;;1
2004;Equestrian;ESP;1;4;
2004;Equestrian;FRA;;;5
2004;Equestrian;GBR;1;5;1
2004;Equestrian;GER;4;1;4
2004;Equestrian;NED;;;1
2004;Equestrian;SWE;;4;
2004;Equestrian;USA;9;2;4
2004;Fencing;CHN;;6;
2004;Fencing;FRA;5;1;8
2004;Fencing;GER;3;3;
2004;Fencing;HUN;;5;1
2004;Fencing;ITA;1;5;5
2004;Fencing;POL;1;;
2004;Fencing;RUS;9;;4
2004;Fencing;SUI;;;1
2004;Fencing;UKR;1;;
2004;Fencing;USA;1;;1
2004;Football;ARG;;;14
2004;Football;BRA;;17;
2004;Football;GER;17;;
2004;Football;ITA;17;;
2004;Football;PAR;;17;
2004;Football;USA;;;16
2004;Gymnastics;BUL;7;1;
2004;Gymnastics;CAN;;1;1
2004;Gymnastics;CHN;3;;1
2004;Gymnastics;ESP;1;;1
2004;Gymnastics;FRA;;;1
2004;Gymnastics;GER;1;;1
2004;Gymnastics;GRE;;;1
2004;Gymnastics;ITA;1;6;1
2004;Gymnastics;JPN;2;1;6
2004;Gymnastics;KOR;1;1;
2004;Gymnastics;LAT;;1;
2004;Gymnastics;ROU;8;3;9
2004;Gymnastics;RUS;7;3;7
2004;Gymnastics;UKR;1;;2
2004;Gymnastics;USA;1;16;2
2004;Handball;CRO;;;14
2004;Handball;DEN;;;15
2004;Handball;GER;;15;
2004;Handball;KOR;;15;
2004;Handball;RUS;14;;
2004;Handball;UKR;15;;
2004;Hockey;ARG;16;;
2004;Hockey;AUS;;;16
2004;Hockey;GER;16;;16
2004;Hockey;NED;;31;
2004;Judo;AUT;;1;
2004;Judo;BEL;1;;
2004;Judo;BLR;;;1
2004;Judo;BRA;2;;
2004;Judo;BUL;1;;
2004;Judo;CHN;3;1;1
2004;Judo;CUB;5;1;
2004;Judo;EST;1;;
2004;Judo;FRA;;1;
2004;Judo;GEO;;1;1
2004;Judo;GER;3;;1
2004;Judo;GRE;;;1
2004;Judo;ISR;1;;
2004;Judo;ITA;1;;
2004;Judo;JPN;;2;8
2004;Judo;KOR;1;1;1
2004;Judo;MGL;1;;
2004;Judo;NED;3;1;
2004;Judo;PRK;;1;
2004;Judo;RUS;3;2;
2004;Judo;SLO;1;;
2004;Judo;SVK;;1;
2004;Judo;UKR;;1;
2004;Judo;USA;1;;
2004;Modern Pentathlon;CZE;1;;
2004;Modern Pentathlon;GBR;1;;
2004;Modern Pentathlon;HUN;;;1
2004;Modern Pentathlon;LAT;;1;
2004;Modern Pentathlon;LTU;;1;
2004;Modern Pentathlon;RUS;;;1
2004;Rowing;AUS;13;4;2
2004;Rowing;BLR;2;1;
2004;Rowing;BUL;2;;
2004;Rowing;CAN;;4;
2004;Rowing;CRO;;2;
2004;Rowing;CZE;;4;
2004;Rowing;DEN;;;4
2004;Rowing;EST;;1;
2004;Rowing;FRA;;2;2
2004;Rowing;GBR;2;6;4
2004;Rowing;GER;;4;5
2004;Rowing;GRE;2;;
2004;Rowing;ITA;10;;
2004;Rowing;NED;11;9;
2004;Rowing;NOR;;;1
2004;Rowing;NZL;;;2
2004;Rowing;POL;;;2
2004;Rowing;ROU;;;13
2004;Rowing;RSA;2;;
2004;Rowing;RUS;;;4
2004;Rowing;SLO;;2;
2004;Rowing;UKR;4;;
2004;Rowing;USA;;9;9
2004;Sailing;ARG;2;;
2004;Sailing;AUT;;1;2
2004;Sailing;BRA;;;3
2004;Sailing;CAN;;2;
2004;Sailing;CHN;;1;
2004;Sailing;CZE;;1;
2004;Sailing;DEN;4;;
2004;Sailing;ESP;;3;2
2004;Sailing;FRA;2;;1
2004;Sailing;GBR;3;2;4
2004;Sailing;GRE;;1;2
